Order No,Order Date,Order Priority,Product Container,Ship Mode,Ship Date,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,Id_customer,Id_delivery,Id_product
5037-1,11-03-2013,High,Small Pack,Regular Air,13-03-2013,8.34,4.92,32.0,266.88,8.0,21.35,245.53,2.64,248.17,69,3,51
5037-1,29-06-2013,Not Specified,Small Box,Regular Air,01-07-2013,8.34,4.92,11.0,91.74,7.0,6.42,85.32,2.64,87.96,70,3,52
5037-1,04-07-2013,Critical,Wrap Bag,Regular Air,05-07-2013,11.97,7.18,10.0,119.7,10.0,11.97,107.73,5.81,113.54,71,3,26
5037-1,11-03-2013,High,Wrap Bag,Express Air,13-03-2013,5.68,3.18,50.0,284.0,9.0,25.56,258.44,3.6,262.04,72,4,53
5038-1,16-03-2013,Medium,Small Box,Regular Air,20-03-2013,5.68,2.16,34.0,193.12,2.0,3.86,189.26,1.39,190.64999999999998,73,2,54
5039-1,15-03-2013,Low,Wrap Bag,Express Air,16-03-2013,7.28,2.69,37.0,269.36,4.0,10.77,258.59000000000003,11.15,269.74,74,1,6
5039-1,31-05-2013,High,Small Box,Regular Air,31-05-2013,2.88,1.04,42.0,120.96,0.0,0.0,120.96,0.99,121.94999999999999,75,2,43
5039-1,07-08-2014,Critical,Large Box,Regular Air,09-08-2014,7.28,2.69,44.0,320.32,8.0,25.63,294.69,11.15,305.84,76,3,55
5040-1,16-03-2013,High,Large Box,Regular Air,20-03-2013,2.88,1.58,46.0,132.48,7.0,9.27,123.21,1.01,124.22,77,3,56
5040-1,16-03-2013,Critical,Small Box,Express Air,20-03-2013,2.88,1.58,8.0,23.04,5.0,1.15,21.89,1.01,22.900000000000002,78,4,56
5040-1,16-03-2013,Medium,Small Box,Regular Air,20-03-2013,2.88,1.58,22.0,63.36,2.0,1.27,62.089999999999996,1.01,63.099999999999994,73,2,57
5040-1,16-03-2013,High,Small Pack,Express Air,20-03-2013,2.88,1.58,32.0,92.16,8.0,7.37,84.78999999999999,1.01,85.8,77,3,56
5041-1,20-10-2015,Medium,Small Box,Regular Air,24-10-2015,5.84,2.86,48.0,280.32,8.0,22.43,257.89,0.83,258.71999999999997,79,4,58
5042-1,30-04-2013,Not Specified,Small Pack,Express Air,02-05-2013,12.98,7.79,49.0,636.02,4.0,25.44,610.5799999999999,3.14,613.7199999999999,80,3,47
5042-1,25-06-2013,High,Small Box,Regular Air,26-05-2013,5.18,1.86,30.0,155.39999999999998,9.0,13.99,141.40999999999997,2.04,143.44999999999996,81,2,46
5042-1,23-03-2013,High,Small Box,Regular Air,26-03-2013,1.81,0.94,30.0,54.300000000000004,3.0,1.63,52.67,0.75,53.42,82,2,59
5043-1,18-04-2015,Not Specified,Small Pack,Express Air,19-04-2015,3.69,1.4,7.0,25.83,1.0,0.26,25.569999999999997,0.5,26.069999999999997,83,1,60
5046-1,11-01-2015,Critical,Small Box,Regular Air,12-01-2015,6.47,2.59,34.0,219.98,3.0,6.6,213.38,1.22,214.6,84,1,61
5047-1,19-04-2015,High,Small Pack,Regular Air,19-04-2015,3.58,1.32,11.0,39.38,2.0,0.79,38.59,5.47,44.06,85,3,62
5047-1,01-05-2015,Low,Small Box,Regular Air,02-05-2015,14.28,5.57,32.0,456.96,10.0,45.7,411.26,2.99,414.25,86,2,63
5047-1,16-03-2015,Critical,Small Pack,Regular Air,16-03-2015,3.69,1.4,50.0,184.5,8.0,14.76,169.74,0.5,170.24,87,1,12
5047-1,04-10-2014,Critical,Small Box,Regular Air,06-10-2014,22.38,8.5,6.0,134.28,3.0,4.03,130.25,15.1,145.35,88,1,64
5048-1,26-05-2013,Not Specified,Large Box,Regular Air,26-05-2013,5.68,2.16,29.0,164.72,0.0,0.0,164.72,1.39,166.10999999999999,89,4,54
5048-1,22-09-2014,Low,Wrap Bag,Regular Air,22-09-2014,1.88,0.7,34.0,63.919999999999995,3.0,1.92,61.99999999999999,1.49,63.489999999999995,90,3,65
5048-1,15-06-2013,Not Specified,Wrap Bag,Regular Air,17-06-2013,5.68,2.16,39.0,221.51999999999998,8.0,17.72,203.79999999999998,1.39,205.18999999999997,91,3,66
5049-1,20-10-2015,Medium,Small Box,Regular Air,24-10-2015,2.6,1.51,1.0,2.6,0.0,0.0,2.6,2.4,5.0,92,1,67
5049-1,29-05-2013,High,Jumbo Drum,Delivery Truck,29-05-2013,2.08,1.14,13.0,27.04,4.0,1.08,25.96,2.56,28.52,93,3,68
5050-1,06-09-2016,Critical,Small Box,Regular Air,08-09-2016,90.48,36.19,46.0,4162.08,4.0,166.48,3995.6,19.99,4015.5899999999997,94,1,11
5050-1,19-04-2013,Not Specified,Wrap Bag,Express Air,20-04-2013,8.6,3.27,25.0,215.0,10.0,21.5,193.5,6.19,199.69,95,4,4
5050-1,30-07-2013,Medium,Small Box,Regular Air,31-07-2013,15.98,5.91,38.0,607.24,3.0,18.22,589.02,4.0,593.02,96,3,36
5051-1,27-03-2013,Medium,Small Box,Express Air,27-03-2013,5.18,1.86,41.0,212.38,8.0,16.99,195.39,2.04,197.42999999999998,97,1,46
5051-1,23-06-2014,Critical,Small Box,Regular Air,23-06-2014,19.98,13.59,36.0,719.28,5.0,35.96,683.3199999999999,4.0,687.3199999999999,98,3,69
5052-1,06-03-2014,Medium,Small Box,Regular Air,07-03-2014,2.88,1.04,7.0,20.16,4.0,0.81,19.35,0.99,20.34,99,2,43
5055-1,16-11-2016,Medium,Small Pack,Regular Air,16-11-2016,22.38,8.5,30.0,671.4,8.0,53.71,617.6899999999999,15.1,632.79,100,3,64
5055-1,11-09-2013,Not Specified,Small Box,Regular Air,13-08-2013,3.28,1.71,1.0,3.28,0.0,0.0,3.28,0.98,4.26,101,4,70
5055-1,22-05-2015,High,Small Box,Regular Air,24-05-2015,11.97,7.18,12.0,143.64000000000001,2.0,2.87,140.77,5.81,146.58,102,4,26
5055-1,23-02-2014,Critical,Small Box,Regular Air,26-02-2014,2.78,1.25,25.0,69.5,7.0,4.86,64.64,1.34,65.98,103,1,5
5055-1,18-09-2013,High,Small Box,Regular Air,25-09-2013,2.78,1.25,23.0,63.94,2.0,1.28,62.66,1.34,64.0,104,3,5
5055-1,27-04-2013,Low,Large Box,Regular Air,28-04-2013,19.98,7.59,16.0,319.68,0.0,0.0,319.68,5.77,325.45,105,4,71
5055-1,27-03-2014,Low,Small Box,Regular Air,03-04-2014,19.98,7.59,32.0,639.36,10.0,63.94,575.4200000000001,5.77,581.19,106,1,72
5055-1,26-04-2013,Not Specified,Wrap Bag,Regular Air,26-04-2013,11.97,7.18,39.0,466.83000000000004,8.0,37.35,429.48,5.81,435.29,107,1,26
5055-1,23-04-2013,Medium,Wrap Bag,Regular Air,25-04-2013,11.97,7.18,43.0,514.71,3.0,15.44,499.27000000000004,5.81,505.08000000000004,108,2,26
5055-1,03-04-2016,High,Wrap Bag,Regular Air,03-04-2016,5.98,2.33,12.0,71.76,10.0,7.18,64.58000000000001,1.49,66.07000000000001,73,2,73
5055-1,27-04-2013,High,Small Box,Regular Air,28-04-2013,3.69,1.44,29.0,107.01,3.0,3.21,103.80000000000001,2.5,106.30000000000001,109,2,74
5056-1,07-05-2014,Critical,Wrap Bag,Regular Air,09-05-2014,1.82,0.73,2.0,3.64,3.0,0.11,3.5300000000000002,1.0,4.53,110,3,75
5056-1,24-02-2014,Not Specified,Large Box,Regular Air,25-02-2014,2.88,1.04,2.0,5.76,7.0,0.4,5.359999999999999,0.99,6.35,86,3,39
5058-1,02-02-2017,Critical,Small Pack,Regular Air,04-02-2017,20.98,7.34,49.0,1028.02,7.0,71.96,956.06,1.49,957.55,111,1,76
5058-1,20-04-2013,Critical,Wrap Bag,Regular Air,22-04-2013,5.68,2.16,33.0,187.44,4.0,7.5,179.94,1.39,181.32999999999998,112,2,66
5059-1,08-04-2015,Medium,Small Box,Regular Air,09-04-2015,5.18,1.86,7.0,36.26,7.0,2.54,33.72,2.04,35.76,113,1,46
5059-1,26-03-2013,Critical,Medium Box,Regular Air,28-03-2013,5.18,1.86,8.0,41.44,9.0,3.73,37.71,2.04,39.75,114,4,77
5059-1,04-04-2014,Not Specified,Small Box,Regular Air,05-04-2014,3.69,1.4,47.0,173.43,3.0,5.2,168.23000000000002,0.5,168.73000000000002,115,3,12
5059-1,29-05-2015,Critical,Wrap Bag,Regular Air,31-05-2015,8.6,3.27,32.0,275.2,3.0,8.26,266.94,6.19,273.13,116,2,4
5059-1,03-05-2014,Medium,Medium Box,Regular Air,05-05-2014,4.91,1.77,25.0,122.75,5.0,6.14,116.61,0.5,117.11,59,4,78
5059-1,28-04-2013,Not Specified,Small Box,Regular Air,28-04-2013,19.98,13.59,45.0,899.1,4.0,35.96,863.14,4.0,867.14,117,2,69
5059-1,27-06-2015,Low,Small Box,Regular Air,27-06-2015,3.58,1.29,37.0,132.46,6.0,7.95,124.51,1.63,126.14,118,1,79
5059-1,08-12-2013,High,Small Box,Regular Air,08-12-2013,10.89,6.43,10.0,108.9,1.0,1.09,107.81,4.5,112.31,119,1,80
5059-1,24-06-2015,Low,Small Box,Regular Air,25-06-2015,2.88,1.04,37.0,106.56,4.0,4.26,102.3,0.99,103.28999999999999,120,3,43
5059-1,03-02-2015,Not Specified,Small Box,Regular Air,15-02-2015,3.26,1.34,35.0,114.1,3.0,3.42,110.67999999999999,1.86,112.53999999999999,121,3,81
5059-2,20-01-2015,Medium,Small Box,Express Air,21-01-2015,5.18,1.86,41.0,212.38,8.0,16.99,195.39,2.04,197.42999999999998,122,1,46
5060-1,27-04-2013,High,Small Box,Express Air,28-04-2013,1.88,0.7,42.0,78.96,0.0,0.0,78.96,1.49,80.44999999999999,123,4,65
5060-1,05-05-2013,High,Wrap Bag,Regular Air,10-05-2013,15.98,5.91,50.0,799.0,9.0,71.91,727.09,4.0,731.09,124,1,36
5060-1,27-06-2015,Low,Wrap Bag,Regular Air,29-06-2015,3.78,1.47,38.0,143.64,6.0,8.62,135.01999999999998,0.71,135.73,125,1,82
5062-1,30-04-2013,Low,Small Box,Regular Air,02-05-2013,15.98,5.91,31.0,495.38,0.0,0.0,495.38,4.0,499.38,67,4,36
5062-1,04-03-2015,Medium,Wrap Bag,Regular Air,06-03-2015,2.62,1.02,25.0,65.5,10.0,6.55,58.95,0.8,59.75,126,2,7
5063-1,15-02-2014,Low,Small Box,Regular Air,20-02-2014,7.3,2.77,37.0,270.09999999999997,4.0,10.8,259.29999999999995,7.72,267.02,127,3,22
5064-1,02-05-2013,Medium,Wrap Bag,Regular Air,03-05-2013,8.6,3.27,23.0,197.79999999999998,5.0,9.89,187.90999999999997,6.19,194.09999999999997,128,2,4
5064-1,02-05-2013,High,Small Box,Regular Air,02-05-2013,58.1,22.08,9.0,522.9,3.0,15.69,507.21,1.49,508.7,129,1,83
5064-1,14-08-2015,Not Specified,Wrap Bag,Regular Air,15-08-2015,8.6,3.27,13.0,111.8,2.0,2.24,109.56,6.19,115.75,130,4,4
5064-1,11-10-2013,Low,Small Box,Regular Air,12-10-2013,4.49,1.75,38.0,170.62,9.0,15.36,155.26,1.49,156.75,131,4,84
5064-1,02-05-2013,High,Jumbo Drum,Delivery Truck,03-05-2013,58.1,22.08,15.0,871.5,4.0,34.86,836.64,1.49,838.13,132,1,85
5064-1,02-05-2013,Critical,Small Box,Regular Air,03-05-2013,3.08,1.14,19.0,58.52,10.0,5.85,52.67,0.99,53.660000000000004,133,4,86
5065-1,20-06-2013,Not Specified,Small Box,Regular Air,22-06-2013,2.88,1.04,2.0,5.76,7.0,0.4,5.359999999999999,0.99,6.35,40,4,43
5066-1,02-05-2013,High,Small Pack,Regular Air,03-05-2013,27.18,10.33,26.0,706.68,8.0,56.53,650.15,8.33,658.48,134,3,42
5068-1,30-07-2013,Not Specified,Small Pack,Express Air,31-07-2013,5.68,2.16,8.0,45.44,10.0,4.54,40.9,1.39,42.29,135,4,54
5068-1,03-05-2013,Medium,Small Box,Regular Air,03-05-2013,20.99,12.17,12.0,251.88,0.0,0.0,251.88,4.81,256.69,77,1,87
5069-1,11-02-2013,High,Small Box,Regular Air,12-02-2013,2.47,0.94,42.0,103.74000000000001,5.0,5.19,98.55000000000001,1.02,99.57000000000001,136,2,88
5070-1,29-10-2014,Low,Small Box,Regular Air,21-10-2014,5.68,2.16,29.0,164.72,3.0,4.94,159.78,1.39,161.17,137,1,66
5070-1,30-07-2013,High,Small Box,Express Air,31-07-2013,12.22,6.72,27.0,329.94,10.0,32.99,296.95,2.85,299.8,138,1,89
5071-1,07-05-2013,Medium,Small Box,Regular Air,09-05-2013,3.89,1.44,5.0,19.45,7.0,1.36,18.09,7.01,25.1,133,1,90
5071-1,04-10-2013,High,Wrap Bag,Regular Air,05-10-2013,6.84,3.97,43.0,294.12,6.0,17.65,276.47,4.42,280.89000000000004,139,4,91
5071-1,04-04-2014,Not Specified,Wrap Bag,Express Air,05-04-2014,3.69,1.44,25.0,92.25,10.0,9.22,83.03,2.5,85.53,140,3,92
5071-1,18-07-2015,Not Specified,Small Box,Regular Air,20-07-2015,5.4,2.0,47.0,253.8,3.0,7.61,246.19,7.78,253.97,141,3,23
5072-1,08-06-2014,Critical,Wrap Bag,Regular Air,10-06-2014,3.52,1.34,18.0,63.36,1.0,0.63,62.73,6.83,69.56,142,4,93
5075-1,05-05-2013,Low,Small Box,Regular Air,10-05-2013,15.98,5.91,49.0,783.02,5.0,39.15,743.87,4.0,747.87,143,4,16
5075-1,05-05-2013,High,Medium Box,Regular Air,06-05-2013,15.98,5.91,7.0,111.86,3.0,3.36,108.5,4.0,112.5,144,2,16
5076-1,01-08-2013,Low,Wrap Bag,Regular Air,02-08-2013,9.38,5.35,23.0,215.74,9.0,19.42,196.32,7.28,203.6,145,2,94
5076-1,11-09-2013,Not Specified,Small Box,Regular Air,21-09-2013,5.68,2.16,33.0,187.44,8.0,15.0,172.44,1.39,173.82999999999998,146,2,66
5076-1,07-03-2013,Critical,Wrap Bag,Regular Air,10-03-2013,1.98,0.79,43.0,85.14,1.0,0.85,84.29,4.77,89.06,147,1,95
5077-1,26-03-2013,Low,Small Box,Regular Air,28-03-2013,5.68,3.18,46.0,261.28,4.0,10.45,250.82999999999998,3.6,254.42999999999998,148,3,53
5078-1,31-05-2013,High,Wrap Bag,Regular Air,31-05-2013,8.34,4.92,44.0,366.96,7.0,25.69,341.27,2.64,343.90999999999997,149,4,52
5078-1,27-12-2014,High,Wrap Bag,Regular Air,29-12-2014,5.68,2.16,16.0,90.88,10.0,9.09,81.78999999999999,1.39,83.17999999999999,150,2,66
5079-1,19-05-2014,High,Small Box,Regular Air,19-05-2014,2.6,1.51,10.0,26.0,4.0,1.04,24.96,2.4,27.36,151,1,67
5079-1,14-01-2014,Medium,Wrap Bag,Regular Air,17-01-2014,3.58,1.32,4.0,14.32,9.0,1.29,13.030000000000001,5.47,18.5,152,2,96
5080-1,01-05-2015,Not Specified,Wrap Bag,Regular Air,02-05-2015,3.58,1.32,42.0,150.36,6.0,9.02,141.34,5.47,146.81,153,3,96
5083-1,14-05-2013,Low,Small Box,Regular Air,15-05-2013,100.97,46.45,42.0,4240.74,1.0,42.41,4198.33,7.18,4205.51,154,3,97
5083-1,10-05-2013,Not Specified,Small Box,Regular Air,11-05-2013,100.97,46.45,34.0,3432.98,7.0,240.31,3192.67,7.18,3199.85,107,4,97
5083-1,03-02-2014,Medium,Small Box,Regular Air,04-02-2014,100.97,46.45,23.0,2322.31,7.0,162.56,2159.75,7.18,2166.93,155,3,97
5083-1,18-06-2013,High,Jumbo Drum,Delivery Truck,20-06-2013,5.74,2.24,13.0,74.62,4.0,2.98,71.64,5.01,76.65,156,3,98
